Time(s)	Signal
0.343000	0.362412
0.344000	0.399420
0.345000	0.436286
0.346000	0.472998
0.347000	0.509541
0.348000	0.545904
0.349000	0.582072
0.350000	0.618034
0.351000	0.653776
0.352000	0.689286
0.353000	0.724551
0.354000	0.759558
0.355000	0.794296
0.356000	0.828751
0.357000	0.862912
0.358000	0.896766
0.359000	0.930302
0.360000	0.963507
0.361000	0.996370
0.362000	1.028879
0.363000	1.061022
0.364000	1.092789
0.365000	1.124167
0.366000	1.155145
0.367000	1.185714
0.368000	1.215861
0.369000	1.245576
0.370000	1.274848
0.371000	1.303667
0.372000	1.332024
0.373000	1.359907
0.374000	1.387307
0.375000	1.414214
0.376000	1.440618
0.377000	1.466511
0.378000	1.491882
0.379000	1.516724
0.380000	1.541026
0.381000	1.564782
0.382000	1.587981
0.383000	1.610616
0.384000	1.632679
0.385000	1.654161
0.386000	1.675056
0.387000	1.695356
0.388000	1.715053
0.389000	1.734141
0.390000	1.752613
0.391000	1.770463
0.392000	1.787683
0.393000	1.804268
0.394000	1.820212
0.395000	1.835509
0.396000	1.850154
0.397000	1.864142
0.398000	1.877468
0.399000	1.890126
0.400000	1.902113
0.401000	1.913424
0.402000	1.924055
0.403000	1.934003
0.404000	1.943263
0.405000	1.951834
0.406000	1.959710
0.407000	1.966890
0.408000	1.973372
0.409000	1.979152
0.410000	1.984229
0.411000	1.988602
0.412000	1.992267
0.413000	1.995225
0.414000	1.997474
0.415000	1.999013
0.416000	1.999842
0.417000	1.999961
0.418000	1.999368
0.419000	1.998066
0.420000	1.996053
0.421000	1.993332
0.422000	1.989902
0.423000	1.985765
0.424000	1.980923
0.425000	1.975377
0.426000	1.969129
0.427000	1.962181
0.428000	1.954536
0.429000	1.946197
0.430000	1.937166
0.431000	1.927447
0.432000	1.917044
0.433000	1.905959
0.434000	1.894197
0.435000	1.881762
0.436000	1.868658
0.437000	1.854890
0.438000	1.840464
0.439000	1.825383
0.440000	1.809654
0.441000	1.793282
0.442000	1.776273
0.443000	1.758633
0.444000	1.740368
0.445000	1.721484
0.446000	1.701989
0.447000	1.681889
0.448000	1.661192
0.449000	1.639904
0.450000	1.618034
0.451000	1.595589
0.452000	1.572577
0.453000	1.549006
0.454000	1.524885
0.455000	1.500222
0.456000	1.475026
0.457000	1.449306
0.458000	1.423071
0.459000	1.396331
0.460000	1.369094
0.461000	1.341371
0.462000	1.313172
0.463000	1.284505
0.464000	1.255383
0.465000	1.225814
0.466000	1.195810
0.467000	1.165381
0.468000	1.134538
0.469000	1.103292
0.470000	1.071654
0.471000	1.039635
0.472000	1.007246
0.473000	0.974500
0.474000	0.941408
0.475000	0.907981
0.476000	0.874232
0.477000	0.840171
0.478000	0.805813
0.479000	0.771168
0.480000	0.736249
0.481000	0.701069
0.482000	0.665639
0.483000	0.629973
0.484000	0.594083
0.485000	0.557982
0.486000	0.521683
0.487000	0.485198
0.488000	0.448542
0.489000	0.411725
0.490000	0.374763
0.491000	0.337667
0.492000	0.300451
0.493000	0.263129
0.494000	0.225713
0.495000	0.188217
0.496000	0.150654
0.497000	0.113037
0.498000	0.075380
0.499000	0.037697
0.500000	0.000000
0.501000	-0.037697
0.502000	-0.075380
0.503000	-0.113037
0.504000	-0.150654
0.505000	-0.188217
0.506000	-0.225713
0.507000	-0.263129
0.508000	-0.300451
0.509000	-0.337667
0.510000	-0.374763
0.511000	-0.411725
0.512000	-0.448542
0.513000	-0.485198
0.514000	-0.521683
0.515000	-0.557982
0.516000	-0.594083
0.517000	-0.629973
0.518000	-0.665639
0.519000	-0.701069
0.520000	-0.736249
0.521000	-0.771168
0.522000	-0.805813
0.523000	-0.840171
0.524000	-0.874232
0.525000	-0.907981
0.526000	-0.941408
0.527000	-0.974500
0.528000	-1.007246
0.529000	-1.039635
0.530000	-1.071654
0.531000	-1.103292
0.532000	-1.134538
0.533000	-1.165381
0.534000	-1.195810
0.535000	-1.225814
0.536000	-1.255383
0.537000	-1.284505
0.538000	-1.313172
0.539000	-1.341371
0.540000	-1.369094
0.541000	-1.396331
0.542000	-1.423071
0.543000	-1.449306
0.544000	-1.475026
0.545000	-1.500222
0.546000	-1.524885
0.547000	-1.549006
0.548000	-1.572577
0.549000	-1.595589
0.550000	-1.618034
0.551000	-1.639904
0.552000	-1.661192
0.553000	-1.681889
0.554000	-1.701989
0.555000	-1.721484
0.556000	-1.740368
0.557000	-1.758633
0.558000	-1.776273
0.559000	-1.793282
0.560000	-1.809654
0.561000	-1.825383
0.562000	-1.840464
0.563000	-1.854890
0.564000	-1.868658
0.565000	-1.881762
0.566000	-1.894197
0.567000	-1.905959
0.568000	-1.917044
0.569000	-1.927447
0.570000	-1.937166
0.571000	-1.946197
0.572000	-1.954536
0.573000	-1.962181
0.574000	-1.969129
0.575000	-1.975377
0.576000	-1.980923
0.577000	-1.985765
0.578000	-1.989902
0.579000	-1.993332
0.580000	-1.996053
0.581000	-1.998066
0.582000	-1.999368
0.583000	-1.999961
0.584000	-1.999842
0.585000	-1.999013
0.586000	-1.997474
0.587000	-1.995225
0.588000	-1.992267
0.589000	-1.988602
0.590000	-1.984229
0.591000	-1.979152
0.592000	-1.973372
0.593000	-1.966890
0.594000	-1.959710
0.595000	-1.951834
0.596000	-1.943263
0.597000	-1.934003
0.598000	-1.924055
0.599000	-1.913424
0.600000	-1.902113
0.601000	-1.890126
0.602000	-1.877468
0.603000	-1.864142
0.604000	-1.850154
0.605000	-1.835509
0.606000	-1.820212
0.607000	-1.804268
0.608000	-1.787683
0.609000	-1.770463
0.610000	-1.752613
0.611000	-1.734141
0.612000	-1.715053
0.613000	-1.695356
0.614000	-1.675056
0.615000	-1.654161
0.616000	-1.632679
0.617000	-1.610616
0.618000	-1.587981
0.619000	-1.564782
0.620000	-1.541026
0.621000	-1.516724
0.622000	-1.491882
0.623000	-1.466511
0.624000	-1.440618
0.625000	-1.414214
0.626000	-1.387307
0.627000	-1.359907
0.628000	-1.332024
0.629000	-1.303667
0.630000	-1.274848
0.631000	-1.245576
0.632000	-1.215861
0.633000	-1.185714
0.634000	-1.155145
0.635000	-1.124167
0.636000	-1.092789
0.637000	-1.061022
0.638000	-1.028879
0.639000	-0.996370
0.640000	-0.963507
0.641000	-0.930302
0.642000	-0.896766
0.643000	-0.862912
0.644000	-0.828751
0.645000	-0.794296
0.646000	-0.759558
0.647000	-0.724551
0.648000	-0.689286
0.649000	-0.653776
0.650000	-0.618034
0.651000	-0.582072
0.652000	-0.545904
0.653000	-0.509541
0.654000	-0.472998
0.655000	-0.436286
0.656000	-0.399420
0.657000	-0.362412
0.658000	-0.325274
0.659000	-0.288022
0.660000	-0.250666
0.661000	-0.213222
0.662000	-0.175702
0.663000	-0.138120
0.664000	-0.100489
0.665000	-0.062822
0.666000	-0.025132
0.667000	0.012566
0.668000	0.050260
0.669000	0.087936
0.670000	0.125581
0.671000	0.163181
0.672000	0.200723
0.673000	0.238194
0.674000	0.275581
0.675000	0.312869
0.676000	0.350046
0.677000	0.387099
0.678000	0.424014
0.679000	0.460779
0.680000	0.497380
0.681000	0.533804
0.682000	0.570039
0.683000	0.606071
0.684000	0.641887
0.685000	0.677476
0.686000	0.712824
0.687000	0.747918
0.688000	0.782747
0.689000	0.817298
0.690000	0.851559
0.691000	0.885516
0.692000	0.919160
0.693000	0.952476
0.694000	0.985455
0.695000	1.018083
0.696000	1.050349
0.697000	1.082243
0.698000	1.113751
0.699000	1.144864
0.700000	1.175571
0.701000	1.205859
0.702000	1.235719
0.703000	1.265140
0.704000	1.294112
0.705000	1.322624
0.706000	1.350666
0.707000	1.378228
0.708000	1.405300
0.709000	1.431873
0.710000	1.457937
0.711000	1.483484
0.712000	1.508503
0.713000	1.532986
0.714000	1.556925
0.715000	1.580310
0.716000	1.603134
0.717000	1.625388
0.718000	1.647065
0.719000	1.668157
0.720000	1.688656
0.721000	1.708555
0.722000	1.727847
0.723000	1.746525
0.724000	1.764582
0.725000	1.782013
0.726000	1.798811
0.727000	1.814969
0.728000	1.830482
0.729000	1.845345
0.730000	1.859553
0.731000	1.873100
0.732000	1.885981
0.733000	1.898192
0.734000	1.909729
0.735000	1.920587
0.736000	1.930763
0.737000	1.940253
0.738000	1.949054
0.739000	1.957162
0.740000	1.964575
0.741000	1.971289
0.742000	1.977303
0.743000	1.982615
0.744000	1.987223
0.745000	1.991124
0.746000	1.994318
0.747000	1.996803
0.748000	1.998579
0.749000	1.999645
0.750000	2.000000
0.751000	1.999645
0.752000	1.998579
0.753000	1.996803
0.754000	1.994318
0.755000	1.991124
0.756000	1.987223
0.757000	1.982615
0.758000	1.977303
0.759000	1.971289
0.760000	1.964575
0.761000	1.957162
0.762000	1.949054
0.763000	1.940253
0.764000	1.930763
0.765000	1.920587
0.766000	1.909729
0.767000	1.898192
0.768000	1.885981
0.769000	1.873100
0.770000	1.859553
0.771000	1.845345
0.772000	1.830482
0.773000	1.814969
0.774000	1.798811
0.775000	1.782013
0.776000	1.764582
0.777000	1.746525
0.778000	1.727847
0.779000	1.708555
0.780000	1.688656
0.781000	1.668157
0.782000	1.647065
0.783000	1.625388
0.784000	1.603134
0.785000	1.580310
0.786000	1.556925
0.787000	1.532986
0.788000	1.508503
0.789000	1.483484
0.790000	1.457937
0.791000	1.431873
0.792000	1.405300
0.793000	1.378228
0.794000	1.350666
0.795000	1.322624
0.796000	1.294112
0.797000	1.265140
0.798000	1.235719
0.799000	1.205859
0.800000	1.175571
0.801000	1.144864
0.802000	1.113751
0.803000	1.082243
0.804000	1.050349
0.805000	1.018083
0.806000	0.985455
0.807000	0.952476
0.808000	0.919160
0.809000	0.885516
0.810000	0.851559
0.811000	0.817298
0.812000	0.782747
0.813000	0.747918
0.814000	0.712824
0.815000	0.677476
0.816000	0.641887
0.817000	0.606071
0.818000	0.570039
0.819000	0.533804
0.820000	0.497380
0.821000	0.460779
0.822000	0.424014
0.823000	0.387099
0.824000	0.350046
0.825000	0.312869
0.826000	0.275581
0.827000	0.238194
0.828000	0.200723
0.829000	0.163181
0.830000	0.125581
0.831000	0.087936
0.832000	0.050260
0.833000	0.012566
0.834000	-0.025132
0.835000	-0.062822
0.836000	-0.100489
0.837000	-0.138120
0.838000	-0.175702
0.839000	-0.213222
0.840000	-0.250666
0.841000	-0.288022
0.842000	-0.325274
0.843000	-0.362412
0.844000	-0.399420
0.845000	-0.436286
0.846000	-0.472998
0.847000	-0.509541
0.848000	-0.545904
0.849000	-0.582072
0.850000	-0.618034
0.851000	-0.653776
0.852000	-0.689286
0.853000	-0.724551
0.854000	-0.759558
0.855000	-0.794296
0.856000	-0.828751
0.857000	-0.862912
0.858000	-0.896766
0.859000	-0.930302
0.860000	-0.963507
0.861000	-0.996370
0.862000	-1.028879
0.863000	-1.061022
0.864000	-1.092789
0.865000	-1.124167
0.866000	-1.155145
0.867000	-1.185714
0.868000	-1.215861
0.869000	-1.245576
0.870000	-1.274848
0.871000	-1.303667
0.872000	-1.332024
0.873000	-1.359907
0.874000	-1.387307
0.875000	-1.414214
0.876000	-1.440618
0.877000	-1.466511
0.878000	-1.491882
0.879000	-1.516724
0.880000	-1.541026
0.881000	-1.564782
0.882000	-1.587981
0.883000	-1.610616
0.884000	-1.632679
0.885000	-1.654161
0.886000	-1.675056
0.887000	-1.695356
0.888000	-1.715053
0.889000	-1.734141
0.890000	-1.752613
0.891000	-1.770463
0.892000	-1.787683
0.893000	-1.804268
0.894000	-1.820212
0.895000	-1.835509
0.896000	-1.850154
0.897000	-1.864142
0.898000	-1.877468
0.899000	-1.890126
0.900000	-1.902113
0.901000	-1.913424
0.902000	-1.924055
0.903000	-1.934003
0.904000	-1.943263
0.905000	-1.951834
0.906000	-1.959710
0.907000	-1.966890
0.908000	-1.973372
0.909000	-1.979152
0.910000	-1.984229
0.911000	-1.988602
0.912000	-1.992267
0.913000	-1.995225
0.914000	-1.997474
0.915000	-1.999013
0.916000	-1.999842
0.917000	-1.999961
0.918000	-1.999368
0.919000	-1.998066
0.920000	-1.996053
0.921000	-1.993332
0.922000	-1.989902
0.923000	-1.985765
0.924000	-1.980923
0.925000	-1.975377
0.926000	-1.969129
0.927000	-1.962181
0.928000	-1.954536
0.929000	-1.946197
0.930000	-1.937166
0.931000	-1.927447
0.932000	-1.917044
0.933000	-1.905959
0.934000	-1.894197
0.935000	-1.881762
0.936000	-1.868658
0.937000	-1.854890
0.938000	-1.840464
0.939000	-1.825383
0.940000	-1.809654
0.941000	-1.793282
0.942000	-1.776273
0.943000	-1.758633
0.944000	-1.740368
0.945000	-1.721484
0.946000	-1.701989
0.947000	-1.681889
0.948000	-1.661192
0.949000	-1.639904
0.950000	-1.618034
0.951000	-1.595589
0.952000	-1.572577
0.953000	-1.549006
0.954000	-1.524885
0.955000	-1.500222
0.956000	-1.475026
0.957000	-1.449306
0.958000	-1.423071
0.959000	-1.396331
0.960000	-1.369094
0.961000	-1.341371
0.962000	-1.313172
0.963000	-1.284505
0.964000	-1.255383
0.965000	-1.225814
0.966000	-1.195810
0.967000	-1.165381
0.968000	-1.134538
0.969000	-1.103292
0.970000	-1.071654
0.971000	-1.039635
0.972000	-1.007246
0.973000	-0.974500
0.974000	-0.941408
0.975000	-0.907981
0.976000	-0.874232
0.977000	-0.840171
0.978000	-0.805813
0.979000	-0.771168
0.980000	-0.736249
0.981000	-0.701069
0.982000	-0.665639
0.983000	-0.629973
0.984000	-0.594083
0.985000	-0.557982
0.986000	-0.521683
0.987000	-0.485198
0.988000	-0.448542
0.989000	-0.411725
0.990000	-0.374763
0.991000	-0.337667
0.992000	-0.300451
0.993000	-0.263129
0.994000	-0.225713
0.995000	-0.188217
0.996000	-0.150654
0.997000	-0.113037
0.998000	-0.075380
0.999000	-0.037697
1.000000	-0.000000
